id,grade
460203,86
225738,8
1054451,57
541065,16
2006475,24
1176289,29
2290156,32
1694569,29
2139095,17
3164525,45
3204205,44
2553604,24
920141,61
102111,91
3075179,83
3281352,75
1187493,23
1678683,93
3338910,25
1620971,35
1069295,79
3810761,34
1440216,81
2051353,51
613141,87
2221403,89
3875057,26
2890638,60
3033344,8
819830,75
1633337,35
1710723,68
562898,86
3210168,92
1418700,91
2002391,88
2563947,52
1065373,24
1077178,77
771459,62
3848293,14
3557205,96
2711557,91
474766,73
3776086,73
3320777,8
3842691,44
3551905,43
379719,52
3247419,61
494833,70
2197668,45
2735518,52
577703,52
1498865,21
2704047,86
546563,2
3719341,50
1431774,15
3971342,20
722035,9
1733743,9
3194104,36
864004,82
136025,89
1145227,49
980071,20
2910160,84
2863125,6
876353,8
1277204,87
3278815,64
1813676,77
212189,63
456322,9
781033,1
3029096,5
1129480,22
2563912,15
3503917,22
2283815,86
3882914,93
1195421,16
2774465,71
1747604,44
845483,88
2199996,45
2374189,44
3207967,34
3891328,44
2311873,32
3246079,84
1552774,68
774999,90
869104,40
2645010,15
2656048,76
3563774,21
3917545,15
1280194,25
1461579,21
2074878,8
3402790,4
1370847,13
2614017,78
733334,81
1613422,100
2965595,98
3403640,38
3134113,64
1459281,10
1748705,95
1757242,7
3893358,39
2158064,4
3993270,100
1080581,10
3363468,92
238706,60
1087146,14
3498889,79
2943884,61
2827682,55
3571884,22
2718768,43
1470150,3
1682893,21
105836,34
2189257,68
3448590,17
3858110,41
3395251,27
240638,4
2533902,7
3696955,0
2912443,36
558255,73
1363206,78
1045268,7
409410,44
2381140,21
513150,88
3411680,77
2311294,98
1041479,73
896368,81
2806056,87
2462919,12
843190,55
3737869,31
2177441,21
2936294,39
1489968,89
908272,19
2488383,14
3648959,52
3151151,80
3600805,75
377992,1
1021701,55
3993680,37
938407,84
3273249,10
807472,75
3812537,59
2865552,39
2210354,3
3314080,75
2403454,9
1989061,45
747409,10
894906,92
124698,63
1931951,86
3196007,89
1863921,23
1386458,32
2304268,10
496873,59
582565,44
726995,4
1310453,42
3179849,6
2880099,25
2392465,16
2621654,36
1967304,90
1435373,99
3175244,13
3481678,93
1339238,91
579611,75
2088339,50
909218,90
2566538,4
2426328,59
2644696,6
1355853,32
3814723,42
1341290,79
3046430,94
2878126,72
2572736,65
3241239,16
349824,58
165781,35
567713,92
1911654,13
3825987,0
1723720,72
3945160,26
2232991,81
2169553,38
2468801,42
1697125,5
1788487,22
3755475,14
303931,98
1450260,26
2057630,65
1219864,28
1915095,31
2950373,18
562607,27
389053,7
3183734,69
2417355,59
124224,74
1352190,55
1673675,72
3012892,56
248992,67
253457,92
1245669,48
2448803,75
303198,97
3254530,2
2523982,29
262398,13
2829766,52
2560747,99
3851292,16
3656454,70
1788000,100
1929015,59
844722,48
3859111,31
3517462,43
954188,68
2141587,16
3463560,49
111003,49
174784,58
2209008,53
412895,67
2695463,68
2288004,68
545448,92
3072335,66
1137937,43
1934763,1
1040733,81
2513254,91
807061,95
3917247,39
1830200,11
316552,24
1893890,14
3908083,27
3215289,99
2106165,71
2827193,33
