id,grade
1181969,50
2724603,47
2175338,19
267916,55
1236314,59
3247781,74
3403834,26
2556127,72
2216549,65
3678387,15
2842147,36
3202913,88
2907047,74
1069478,52
2474240,77
812255,79
758785,54
1505828,37
562985,65
2630667,70
1195781,94
1481085,56
3203007,31
123826,71
2741426,41
1970356,60
3477830,51
2276309,36
872985,21
3237073,51
3277306,99
2917066,9
345901,16
982838,82
252766,86
1568024,2
1397303,56
2907740,59
3938498,53
386111,7
1592162,18
2500733,9
3219801,1
1976203,92
2439738,91
3453106,36
185323,66
1832051,64
3322622,88
870950,3
365831,58
1884556,51
2123686,36
2809475,35
2096751,88
525062,56
1048178,25
3883291,44
3731252,66
3433840,77
2871127,4
1357554,79
833813,6
2864075,91
3543800,1
2568067,1
606188,89
199752,10
2345508,57
3578591,79
1319421,64
1211494,95
556999,23
2338820,26
517562,54
1285875,28
3830551,17
1556048,40
3925948,32
1464938,11
2569731,34
473110,86
2046992,28
3627488,19
3909442,52
1148633,46
3740027,58
2536874,4
3295848,92
2590483,65
3093100,78
661730,100
487510,32
3112302,9
615336,36
1988519,29
246321,18
1844249,31
2907818,65
1296088,81
3509607,26
2929009,92
1784163,11
2300979,86
119754,60
3510643,59
3049401,9
863437,90
1588427,46
3175117,5
2983501,33
1653646,33
3861722,7
945011,54
2270573,11
340761,0
954527,71
301445,48
190280,37
1031136,20
3625132,68
3345954,28
359927,68
3301733,10
3576706,46
1819109,12
420074,56
1126999,2
829211,22
225398,41
3582039,53
2193269,77
2914515,13
3068768,20
1987934,33
1160148,43
2713467,97
2507630,44
359777,9
2581603,87
114067,55
2509169,49
3503880,24
1003540,40
3852441,43
289041,64
2121153,58
2857263,12
1879372,61
197634,86
1718175,79
1072689,100
1348904,89
944657,90
3310147,12
3138557,60
304325,34
878927,20
3292237,62
1470854,31
2971766,81
729685,46
2034589,21
2947187,37
2104717,88
3501255,64
1634633,15
1886876,59
3333311,38
1128101,24
2399738,11
3519563,18
3621667,77
3380152,59
2821144,10
2843904,84
119675,71
814706,3
325466,83
3356862,30
3236587,6
2591033,58
3541838,91
1751581,11
2113625,91
892079,56
3599547,4
884864,28
1550625,23
2936706,58
3546301,95
3470398,6
580229,6
648152,77
3031992,98
2861145,92
1578862,74
2175949,69
1542157,16
2310745,90
2042085,63
2820356,98
2632660,23
1576552,67
1662375,62
2142852,35
3112345,93
1493910,82
976774,65
841304,31
1941471,94
2405659,69
1031440,60
3020328,4
2471213,72
2138574,38
3263801,20
3517183,25
1875714,94
648479,47
807098,100
3590649,31
1943856,77
3657659,3
181941,100
2742310,31
1807410,57
233392,50
3774583,3
3129514,35
3738411,9
2177303,2
1037249,8
3299752,49
1600926,72
3349949,40
491540,73
2321019,28
2989712,42
3697674,60
1895510,87
3351248,76
3425662,87
766542,65
1329211,11
1207401,10
2106086,27
756058,56
3111053,61
3640461,30
1717876,74
3099444,32
1322409,28
1430714,22
2531061,13
3073262,88
101921,99
3443160,4
1316917,70
